Renewal_Date,Sale,Main_Income,Addon_Income,Finance_Income,Gross_Price,Last_Yr_Gross_Price,Net_Premium,Previous_Renewals,First_Contact_Channel,Renewal_Offer_Type,Number_Of_Attempted_Policy_Ammendments,Diver_Age,Driver_Marital_Status,Driver_Occupation_Status,Driver_Licence_Type,Driver_Years_Licence_Held,Geographical_Area,Number_Of_Named_Drivers,Overnight_Parking,Annual_Mileage,Vehicle_Age,Vehicle_Years_Owned,Vehicle_Body_Type,Vehicle_No_Of_Doors,Vehicle_Engine_Size,Vehicle_Fuel_Type,Vehicle_Transmission,Vehicle_Liability_Category,No_Claims_Discount,Credit_Score,Previous_Discount,Data_Quality
20160606,1,35.37,0,35.41,376.77,381.53,269.42,8,I,Passive,NULL,56,M,E,Z,17,3,0,1,4999,4,2,H,5,999,P,M,,9,581,0,OK
20160704,0,117.11,14.5566,41.77,444.66,408.65,242.61,8,I,Passive,NULL,52,M,E,Z,17,8,0,7,7000,14,3,H,3,1149,P,M,3,9,526,0,OK
20160803,1,106.92,43.537,61.08,649.08,538.19,398.45,8,I,Passive,NULL,60,D,E,Z,17,11,0,3,11999,2,1,H,5,1499,P,M,,7,586,1,OK
20160705,1,194.65,99.8576,70.2,746.76,743.49,299.46,8,I,Passive,NULL,54,S,U,Z,17,5,0,3,12000,15,5,E,5,2902,D,A,11,9,540,0,OK
20160302,1,32.98,19.09,0,303.93,310.12,224.23,7,T,Passive,NULL,60,S,R,5,3,3,0,4,5000,17,8,H,3,1300,P,M,4,8,531,1,OK
20160408,0,-113.93,19.09,0,772.85,484.01,787.07,7,I,Passive,NULL,63,M,E,Z,16,3,0,4,6000,15,5,E,5,2995,P,A,15,3,589,1,OK
20160331,0,35.47,29.98,0,377.02,247.79,274.1,7,I,Passive,NULL,59,M,E,Z,16,5,0,1,10000,0,0,H,5,1597,D,M,,9,596,1,OK
20160401,1,42.92,23.15,26.88,285.5,298.5,169.41,7,I,Passive,NULL,54,P,E,Z,17,10,0,4,10000,17,3,H,5,1868,D,M,4,9,561,0,OK
20160511,1,121.3,19.09,41.17,438.21,403.86,220.55,6,I,Passive,NULL,54,P,E,Z,17,10,0,4,7000,9,4,H,5,1910,D,M,12,8,561,0,OK
20160330,1,224.78,84.78,78.48,834.63,653.53,345.82,7,I,Passive,NULL,48,S,U,Z,16,1,0,5,7000,17,2,H,5,1396,P,M,7,8,557,0,OK
20160121,1,43.4,56.24,38.78,412.81,385.87,212.01,2,T,Passive,NULL,53,P,E,Z,28,9,0,4,5000,10,3,H,3,1388,P,M,5,8,560,0,OK
20160506,0,-6.58,28.97,0,477.28,316.93,411.8,7,I,Passive,NULL,75,M,S,Z,16,7,0,4,10000,5,5,E,5,1598,D,M,,9,533,0,OK
20160518,1,58.12,19.09,0,599.77,412.69,468.03,7,I,Passive,1,39,M,H,Z,13,5,0,5,8000,9,4,H,5,1598,P,M,7,9,535,0,OK
20160509,0,113.44,51.16,45.61,485.27,405.93,206.25,7,I,Passive,NULL,57,M,U,Z,16,10,0,4,15000,7,3,H,5,1598,P,M,4,9,594,0,OK
20160605,1,145.67,19.63,0,457.05,402.52,242.78,7,I,Passive,NULL,72,M,R,Z,16,10,1,4,8000,8,1,H,3,1390,P,M,2,9,602,0,OK
20160421,1,115.49,24.12,39.85,423.91,382.98,209.99,6,I,Passive,NULL,57,M,E,Z,16,12,0,4,6000,1,0,E,5,1685,D,M,,9,591,0,OK
20160517,1,42.82,19.09,0,368.55,307.39,273.13,7,I,Passive,NULL,51,M,E,Z,16,5,0,4,9999,12,9,E,5,2204,D,M,11,9,561,0,OK
20160508,1,89.86,19.09,0,679.68,502.03,508.94,7,I,Passive,NULL,55,M,E,Z,16,3,0,5,6000,10,9,E,5,1900,D,M,5,9,545,1,OK
20160508,0,222.96,74.38,82.8,880.6,862.7,399.97,7,I,Passive,1,31,M,E,Z,14,2,0,4,3999,13,3,H,5,1796,P,M,8,9,554,0,OK
20160512,1,53.41,0,0,297.36,274.42,216.92,7,I,Passive,NULL,42,S,S,Z,16,10,0,5,4999,17,10,H,5,1299,P,M,8,9,552,0,OK
20160514,0,-79.55,19.09,0,494.92,317.71,503.15,8,I,Passive,NULL,65,M,E,Z,16,10,1,3,16000,5,2,H,5,1364,P,M,,4,576,1,OK
20160508,0,18.09,19.09,0,275.03,250.69,212.85,7,I,Passive,NULL,62,P,R,Z,16,8,0,1,12000,1,0,H,3,1395,P,M,,9,588,0,OK
20160513,1,31.98,35.08,32.28,342.85,275.46,212.55,7,I,Passive,NULL,56,P,E,Z,16,3,0,4,3999,13,9,E,5,1991,D,M,8,9,561,0,OK
20160505,1,69.18,35.11,36.6,389.65,424.95,213.94,6,I,Passive,1,46,S,E,Z,16,12,1,5,10000,14,3,H,3,1149,P,M,3,9,545,0,OK
20160512,0,23.53,0,0,247.19,183.02,201.19,7,I,Passive,NULL,77,M,R,Z,16,8,0,4,6000,8,7,H,5,1400,P,M,  ,9,618,0,OK
20160507,1,50.11,6.72,0,370.01,409.33,280.15,7,I,Passive,1,58,D,E,Z,16,3,0,1,5000,14,6,H,5,1360,P,A,3,9,577,0,OK
20160506,0,34.44,0,0,426.5,310.34,353.29,7,I,Passive,NULL,68,A,R,Z,16,11,0,4,7999,13,1,H,3,1398,P,M,4,7,570,1,OK
20160509,0,3.84,19.09,0,369.06,302.1,312.58,7,I,Passive,NULL,62,S,S,Z,16,9,0,4,10000,9,1,H,5,1339,P,M,3,8,572,0,OK
20160509,1,31.23,25.99,39.25,417.91,317.07,287.64,7,I,Passive,NULL,42,M,E,Z,16,1,0,4,10999,12,5,E,5,1753,D,M,7,9,573,0,OK
20161031,1,34.12,46.15,31.21,331.89,284.78,159.35,8,I,Passive,NULL,56,M,E,Z,17,10,0,4,10000,13,13,H,5,1600,P,M,  ,9,579,0,OK
20160506,1,40.46,6.5,0,349.05,270.85,270.95,7,I,Passive,NULL,60,S,E,Z,16,10,0,3,10000,3,2,H,5,996,P,M,1,9,575,0,OK
20160509,1,127.86,19.09,41.16,437.22,395.61,213.1,7,I,Passive,NULL,77,M,R,Z,16,7,0,4,4999,14,6,H,3,1360,P,M,4,9,587,0,OK
20160509,0,88.64,7.37,0,442.89,342.24,307.29,7,I,Passive,NULL,67,M,R,Z,16,3,0,1,10000,6,3,S,4,1796,P,A,,9,622,0,OK
20160507,0,-8.95,19.09,21.72,230.64,232.66,178.97,7,I,Passive,NULL,55,M,E,Z,16,12,0,4,9999,12,8,H,5,1360,P,M,3,9,576,0,OK
20160505,1,183.52,19.09,96.01,1021.38,964.32,638.63,7,I,Passive,3,63,P,U,Z,16,4,0,3,5000,13,0,H,5,1390,P,M,4,5,563,0,OK
20160505,1,43.5,7.96,43.69,464.49,311.14,331.81,7,I,Passive,NULL,73,P,R,Z,16,10,1,4,9999,13,1,S,4,1753,D,M,5,9,556,0,OK
20160505,0,16.39,4.68,0,237.55,178.01,195.31,7,I,Passive,NULL,71,M,R,Z,16,3,0,4,5999,15,14,H,5,1360,P,M,4,9,606,1,OK
20160514,1,22.82,4.3,0,226.93,172.07,179.57,7,I,Passive,NULL,74,M,R,Z,16,12,0,3,6999,6,4,H,5,998,P,M,,9,584,0,OK
20160508,1,110.36,19.09,35.77,380.49,338.28,183.93,7,I,Passive,NULL,46,M,E,Z,16,3,0,3,8000,14,11,H,5,1598,P,M,8,9,555,0,OK
20160506,1,41.8,57.09,42.72,454.44,404.39,247.1,6,T,Passive,NULL,40,M,E,Z,16,12,0,4,9999,10,6,H,5,1598,P,M,5,9,588,0,OK
20160227,0,44.93,27.05,0,443.3,307.92,331.74,6,I,Passive,1,62,S,E,Z,16,10,0,4,6999,3,2,H,5,1329,P,A,,9,602,0,OK
20160527,1,95.66,62.05,39.85,423.95,431.25,159.44,7,I,Passive,NULL,67,M,R,Z,16,10,0,1,10000,10,2,H,5,1587,P,A,4,9,601,0,OK
20160505,0,153.18,29.98,80.29,854.23,681.72,517.23,7,I,Passive,NULL,55,D,E,Z,16,5,0,4,19999,1,0,H,5,1461,D,M,,8,572,0,OK
20160505,1,156.45,0,0,436.85,435.04,240.69,7,I,Passive,NULL,44,M,S,Z,16,5,0,3,1999,8,2,E,5,1997,D,A,10,9,578,0,OK
20160508,0,91.8,19.09,47.04,500.54,467.77,301.38,7,I,Passive,NULL,37,P,E,Z,16,12,0,3,6000,6,2,E,5,1685,D,M,,9,570,0,OK
20160508,0,-115.52,19.09,0,452.94,318.46,497.69,7,I,Active,2,63,M,N,Z,16,10,0,4,8000,9,8,H,5,1600,P,A,6,4,602,1,OK
20160506,0,88.14,32.07,0,557.69,526.75,357.94,7,I,Passive,NULL,55,M,E,Z,16,3,0,2,8000,5,2,H,5,1461,D,M,,7,590,0,OK
20160526,1,33.49,25.66,37.93,403.75,334.77,274.01,6,I,Passive,NULL,57,M,E,Z,16,7,0,1,12000,11,1,H,5,1388,P,M,4,9,570,0,OK
20160603,1,72.76,37.94,48.12,511.84,446.7,300.92,6,T,Passive,NULL,56,M,E,Z,16,2,0,4,8000,3,2,H,3,1242,P,M,2,9,574,0,OK
20160913,1,61.77,33.7612,36.85,391.8,313.94,235.52,7,I,Passive,1,63,S,U,Z,17,1,0,3,4999,1,1,H,5,1248,P,M,,9,562,0,OK
20160613,1,61.98,19.63,35.04,372.42,343.56,219.62,7,I,Passive,NULL,54,M,E,Z,16,10,0,4,12000,4,0,H,5,1461,D,M,,8,559,0,OK
20160611,1,125.98,0,37.21,395.39,397.96,193.82,7,I,Passive,NULL,51,M,E,Z,16,12,0,1,9999,9,8,H,5,1598,P,M,6,9,555,0,OK
20160627,0,12.5,0,30.13,320.64,223.88,246.88,7,I,Passive,2,71,M,R,Z,16,7,0,3,8000,10,8,H,5,1399,P,M,6,4,595,0,OK
20160305,1,15.1,23.38,24.73,263.4,231.39,178.88,6,I,Passive,NULL,57,M,S,Z,16,12,0,4,3000,8,7,H,5,1229,P,M,2,9,567,0,OK
20160628,0,30.94,30.72,0,303.64,294.02,206.26,7,I,Passive,NULL,53,S,E,Z,16,10,0,4,6000,6,4,H,5,1229,P,M,,9,575,0,OK
20160615,0,41.35,5.93,0,329.36,258.57,247.43,7,I,Active,3,67,M,R,Z,16,8,0,4,8000,1,0,E,5,2400,D,A,,9,611,0,OK
20161110,1,43.27,41.4514,51.24,545.02,666.43,363.69,6,I,Passive,NULL,57,M,E,Z,17,12,1,3,5000,3,0,E,5,1397,P,M,,9,533,0,Quote Total Premium Error
20160112,1,216.96,62.05,74.65,794.26,608.5,343.15,6,I,Passive,NULL,54,M,E,Z,16,1,0,1,5000,8,1,H,5,1598,P,M,6,6,550,0,OK
20160718,1,41.86,33.4522,33.96,360.85,340.53,230.37,7,I,Passive,NULL,49,M,E,Z,16,6,0,4,7000,9,9,H,3,1598,P,M,7,9,573,0,OK
20160712,1,116.58,80.927,53.89,573.18,487.36,252.45,6,I,Passive,NULL,57,P,E,Z,16,12,0,4,10000,13,3,H,5,1769,P,M,6,9,543,0,OK
